id_registro,codigo_producto,categoria,laboratorio,ciudad,temporada,metodo_reabastecimiento,precio_unitario,costo_unitario,margen_unitario,stock_actual,stock_minimo,stock_maximo,demanda_promedio_diaria,desviacion_demanda,ventas_ultimos_30_dias,quiebres_stock_ultimos_6m,lead_time_dias,dias_para_vencer,descuento_activo,es_esencial,requiere_formula,categoria_consenso_cluster,confianza_consenso,categoria_reevaluada
1,MED-1000,Antibióticos,Bayer,Cali,Alta (Invierno),Manual,31839.59,26671.34,5168.25,106,70,140,7.08,1.98,217,1,11,488,0,0,0,Pediatría,0.5,Antibióticos
2,MED-1001,Pediatría,Sanofi,Bogotá,Normal,Manual,77683.06,62776.51,14906.55,293,11,252,39.7,6.37,1211,0,10,51,0,0,0,Gastrointestinales,0.5,Pediatría
3,MED-1002,Higiene Personal,Genfar,Cartagena,Promoción,Manual,4775.81,3492.04,1283.77,169,69,389,18.79,7.96,563,3,3,596,1,1,0,Cardiovasculares,0.5,Higiene Personal
4,MED-1003,Vitaminas,Sanofi,Cali,Alta (Epidemia),Manual,75549.54,55968.77,19580.77,264,62,451,10.4,6.99,319,1,12,538,0,1,0,Pediatría,0.5,Vitaminas
5,MED-1004,Antibióticos,Sanofi,Bogotá,Alta (Epidemia),Automático (ML),33111.67,21375.54,11736.13,387,11,114,22.32,2.26,626,2,2,759,1,0,1,Pediatría,0.75,Pediatría
6,MED-1005,Higiene Personal,Pfizer,Barranquilla,Normal,Proveedor Programado,46924.19,34264.45,12659.74,189,49,311,16.16,3.08,463,1,5,821,1,1,0,Pediatría,0.5,Higiene Personal
7,MED-1006,Antibióticos,Bayer,Medellín,Alta (Epidemia),Manual,44787.6,28450.47,16337.13,14,54,168,1.61,4.52,68,1,1,677,0,0,1,Pediatría,0.5,Antibióticos
8,MED-1007,Dermatológicos,Abbott,Cali,Alta (Invierno),Automático (ML),30601.86,19247.57,11354.29,134,21,103,3.48,3.45,123,3,8,834,1,0,1,Pediatría,0.5,Dermatológicos
9,MED-1008,Antibióticos,Roche,Medellín,Alta (Invierno),Manual,12208.76,9502.21,2706.55,256,14,281,10.2,2.93,293,1,11,422,1,1,1,Pediatría,1.0,Pediatría
10,MED-1009,Higiene Personal,Genfar,Cali,Normal,Manual,71973.8,51737.83,20235.97,95,13,284,6.43,6.24,199,1,11,570,0,1,1,Dermatológicos,0.25,Higiene Personal
11,MED-1010,Dermatológicos,Pfizer,Medellín,Alta (Epidemia),Manual,25310.86,16206.68,9104.18,65,51,145,12.53,1.5,367,2,12,57,1,1,1,Pediatría,0.5,Dermatológicos
